County,Year,AntleredMales,MaleFawns,Females,ProportionFemale,Undefined,TotalHarvest
Southampton,2007,2402,905,3496,0.51,0,6803
Southampton,2006,2325,790,3241,0.51,0,6356
Southampton,2005,2181,787,2650,0.47,0,5618
Southampton,2004,1961,577,2198,0.46,0,4736
Southampton,2003,2268,514,2144,0.43,52,4978
Southampton,2002,1670,623,1967,0.46,37,4297
Southampton,2001,2152,685,2507,0.47,44,5388
Southampton,2000,1947,668,2614,0.49,88,5317
Southampton,1999,2079,765,2584,0.47,42,5470
Southampton,1998,1929,681,2225,0.45,101,4936
Southampton,1997,2132,776,2603,0.47,65,5576
Southampton,1996,2095,817,3002,0.51,24,5938
Southampton,1995,2277,994,3367,0.50,36,6674
Southampton,1994,2348,911,3211,0.49,40,6510
Southampton,1993,3106,0,2778,0.47,81,5965
Southampton,1992,2863,0,2661,0.48,26,5550
Southampton,1991,2536,0,2268,0.47,16,4820
Southampton,1990,2550,0,2225,0.46,47,4822
Southampton,1989,2244,0,2119,0.49,0,4363
Southampton,1988,2702,0,2276,0.46,0,4978
Southampton,1987,2751,0,1876,0.41,0,4627
Southampton,1986,2450,0,1735,0.41,0,4185
Southampton,1985,2238,0,1694,0.43,0,3932
Southampton,1984,2077,0,1578,0.43,0,3655
Southampton,1983,1882,0,1151,0.38,0,3033
Southampton,1982,1497,0,440,0.23,0,1937
Southampton,1981,1669,0,1103,0.40,0,2772
Southampton,1980,1880,0,1450,0.44,0,3330
Southampton,1979,1955,0,1297,0.40,0,3252
Southampton,1978,1869,0,1224,0.40,0,3093
Southampton,1977,1831,0,1281,0.41,0,3112
Southampton,1976,1726,0,1076,0.38,0,2802
Southampton,1975,1650,0,883,0.35,0,2533
Southampton,1974,1615,0,1108,0.41,0,2723
Southampton,1973,1756,0,1144,0.39,0,2900
Southampton,1972,1676,0,1107,0.40,0,2783
Southampton,1971,1353,0,710,0.34,0,2063
Southampton,1970,1309,0,844,0.39,0,2153
Southampton,1969,1181,0,561,0.32,0,1742
Southampton,1968,994,0,385,0.28,0,1379
Southampton,1967,777,0,256,0.25,0,1033
Southampton,1966,863,0,348,0.29,0,1211
Southampton,1965,952,0,495,0.34,0,1447
Southampton,1964,829,0,554,0.40,0,1383
Southampton,1963,997,0,611,0.38,0,1608
Southampton,1962,816,0,497,0.38,0,1313
Southampton,1961,777,0,350,0.31,0,1127
Southampton,1960,669,0,382,0.36,0,1051
Southampton,1959,527,0,177,0.25,0,704
Southampton,1958,787,0,397,0.34,0,1184
Southampton,1957,499,0,167,0.25,0,666
Southampton,1956,416,0,165,0.28,0,581
Southampton,1955,398,0,0,0.00,0,398
Southampton,1954,385,0,39,0.09,0,424
Southampton,1953,396,0,38,0.09,0,434
Southampton,1952,322,0,28,0.08,0,350
Southampton,1951,299,0,23,0.07,0,322
Southampton,1950,276,0,11,0.04,0,287
Southampton,1949,344,0,26,0.07,0,370
Southampton,1948,200,0,0,0.00,0,200
Southampton,1947,182,0,14,0.07,0,196
